Year,BC,CH4,CO,N2O,NH3,NMVOC,NOx,OC,SO2
1934,1.674,11.811,296.336,0.812,3.535,56.463,13.497,13.822,2.078
1935,1.648,11.626,291.598,0.798,3.479,55.571,13.281,13.598,2.045
1936,1.720,12.098,303.603,0.829,3.608,57.821,13.879,14.129,2.125
1937,1.655,11.660,293.003,0.804,3.491,55.827,13.370,13.661,2.058
1938,1.600,11.256,282.764,0.774,3.350,53.854,12.974,13.105,1.978
1939,1.672,11.726,295.222,0.809,3.492,56.204,13.559,13.727,2.072
1940,1.607,11.258,284.087,0.781,3.342,54.051,13.115,13.167,1.992
1941,1.600,11.203,282.214,0.773,3.321,53.711,13.048,13.019,1.973
1942,1.645,11.578,290.911,0.797,3.454,55.411,13.309,13.541,2.040
1943,1.630,11.388,287.003,0.785,3.364,54.596,13.282,13.273,2.008
1944,1.646,11.604,290.926,0.795,3.453,55.410,13.307,13.509,2.033
1945,1.661,11.556,292.043,0.800,3.405,55.514,13.610,13.439,2.040
1946,1.575,11.126,278.756,0.762,3.304,53.096,12.738,12.967,1.949
1947,1.588,11.101,280.365,0.770,3.276,53.315,13.006,12.965,1.964
1948,1.659,11.492,291.483,0.800,3.377,55.370,13.676,13.370,2.038
1949,1.627,12.297,295.882,0.796,3.519,56.812,13.024,13.748,2.032
1950,1.769,12.169,310.738,0.860,3.749,59.057,14.208,14.661,2.210
1951,1.558,10.607,273.161,0.760,3.241,51.818,12.702,12.799,1.946
1952,1.590,11.298,283.085,0.779,3.391,53.986,12.789,13.312,1.996
1953,1.656,11.749,294.709,0.811,3.535,56.199,13.329,13.841,2.078
1954,1.672,11.805,295.894,0.810,3.524,56.383,13.484,13.791,2.073
1955,1.652,11.541,292.269,0.806,3.421,55.578,13.544,13.563,2.057
1956,1.747,12.868,314.674,0.851,3.632,60.162,14.317,14.456,2.166
1957,1.848,13.589,332.633,0.901,3.865,63.593,15.087,15.316,2.292
1958,1.653,11.286,289.642,0.803,3.424,54.962,13.491,13.501,2.053
